,Movie name,IMDB_rating
1,The Shawshank Redemption,9.3
2,The Godfather,9.2
3,The Dark Knight,9.0
4,The Godfather Part II,9.0
5,12 Angry Men,9.0
6,The Lord of the Rings The Return of the King,8.9
7,Pulp Fiction,8.9
8,Schindlers List,8.9
9,Inception,8.8
10,Fight Club,8.8
11,The Lord of the Rings The Fellowship of the Ring,8.8
12,Forrest Gump,8.8
13,Il buono il brutto il cattivo,8.8
14,The Lord of the Rings The Two Towers,8.7
15,The Matrix,8.7
16,Goodfellas,8.7
17,Star Wars Episode V  The Empire Strikes Back,8.7
18,One Flew Over the Cuckoos Nest,8.7
19,Gisaengchung,8.6
20,Interstellar,8.6
21,Cidade de Deus,8.6
22,Sen to Chihiro no kamikakushi,8.6
23,Saving Private Ryan,8.6
24,The Green Mile,8.6
25,La vita è bella,8.6
26,Se7en,8.6
27,The Silence of the Lambs,8.6
28,Star Wars,8.6
29,Seppuku,8.6
30,Shichinin no samurai,8.6
31,Its a Wonderful Life,8.6
32,Hamilton,8.5
33,Whiplash,8.5
34,The Intouchables,8.5
35,The Prestige,8.5
36,The Departed,8.5
37,The Pianist,8.5
38,Gladiator,8.5
39,American History X,8.5
40,The Usual Suspects,8.5
41,Léon,8.5
42,The Lion King,8.5
43,Terminator 2 Judgment Day,8.5
44,Nuovo Cinema Paradiso,8.5
45,Hotaru no haka,8.5
46,Back to the Future,8.5
47,Once Upon a Time in the West,8.5
48,Psycho,8.5
49,Casablanca,8.5
50,Modern Times,8.5
51,City Lights,8.5
52,Capharnaüm,8.4
53,Joker,8.4
54,Kimi no na wa,8.4
55,Dangal,8.4
56,SpiderMan Into the SpiderVerse,8.4
57,Avengers Endgame,8.4
58,Avengers Infinity War,8.4
59,Coco,8.4
60,Django Unchained,8.4
61,The Dark Knight Rises,8.4
62,3 Idiots,8.4
63,Taare Zameen Par,8.4
64,WALLE,8.4
65,The Lives of Others,8.4
66,Oldeuboi,8.4
67,Memento,8.4
68,Mononokehime,8.4
69,Once Upon a Time in America,8.4
70,Raiders of the Lost Ark,8.4
71,The Shining,8.4
72,Apocalypse Now,8.4
73,Alien,8.4
74,Tengoku to jigoku,8.4
75,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb,8.4
76,Witness for the Prosecution,8.4
77,Paths of Glory,8.4
78,Rear Window,8.4
79,Sunset Blvd,8.4
80,The Great Dictator,8.4
81,Jagten,8.3
82,Inglourious Basterds,8.3
83,Eternal Sunshine of the Spotless Mind,8.3
84,Requiem for a Dream,8.3
85,American Beauty,8.3
86,Good Will Hunting,8.3
87,Toy Story,8.3
88,Braveheart,8.3
89,Reservoir Dogs,8.3
90,Aliens,8.3
91,Amadeus,8.3
92,Star Wars Episode VI  Return of the Jedi,8.3
93,Das Boot,8.3
94,2001 A Space Odyssey,8.3
95,Vertigo,8.3
96,Singin in the Rain,8.3
97,Ladri di biciclette,8.3
98,Citizen Kane,8.3
99,M  Eine Stadt sucht einen Mörder,8.3
100,The Kid,8.3
